127.0.0.1 - - [25/Oct/2023:18:19:22 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [25/Oct/2023:18:19:34 +0530] "GET /LeavingEmp/deleteEmp.jsp HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [25/Oct/2023:18:19:34 +0530] "GET /LeavingEmp/deleteEmp.css HTTP/1.1" 200 1052
0:0:0:0:0:0:0:1 - - [25/Oct/2023:18:19:35 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [25/Oct/2023:18:20:58 +0530] "GET /LeavingEmp/deleteEmp.jsp HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [25/Oct/2023:18:20:58 +0530] "GET /LeavingEmp/deleteEmp.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2023:18:21:00 +0530] "GET /LeavingEmp/deleteEmp.jsp HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [25/Oct/2023:18:21:00 +0530] "GET /LeavingEmp/deleteEmp.jsp HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [25/Oct/2023:18:21:01 +0530] "GET /LeavingEmp/deleteEmp.jsp HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [25/Oct/2023:18:21:14 +0530] "GET /LeavingEmp/deleteEmp.jsp HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [25/Oct/2023:18:21:16 +0530] "GET /LeavingEmp/deleteEmp.jsp HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [25/Oct/2023:18:21:50 +0530] "GET /LeavingEmp/deleteEmp.jsp HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [25/Oct/2023:18:21:50 +0530] "GET /LeavingEmp/deleteEmp.css HTTP/1.1" 200 1071
0:0:0:0:0:0:0:1 - - [25/Oct/2023:18:22:27 +0530] "GET /LeavingEmp/deleteEmp.jsp HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [25/Oct/2023:18:22:27 +0530] "GET /LeavingEmp/deleteEmp.css HTTP/1.1" 200 1091
0:0:0:0:0:0:0:1 - - [25/Oct/2023:18:23:04 +0530] "GET /LeavingEmp/deleteEmp.jsp HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [25/Oct/2023:18:23:04 +0530] "GET /LeavingEmp/deleteEmp.css HTTP/1.1" 200 1097
0:0:0:0:0:0:0:1 - - [25/Oct/2023:18:25:23 +0530] "GET /LeavingEmp/leavingHistory.jsp HTTP/1.1" 200 403
0:0:0:0:0:0:0:1 - - [25/Oct/2023:18:25:24 +0530] "GET /LeavingEmp/deleteEmp.css HTTP/1.1" 304 -
